:START_ID(Document),:END_ID(Organization),:TYPE
新媒体的法治促进功能及其优化研究,西南政法大学,PUBLISHED_BY
基于Neo4j的儿科知识图谱的构建与推理,广东工业大学,PUBLISHED_BY
基于深度学习的混合式文本摘要生成技术研究,广东技术师范大学,PUBLISHED_BY
若干碳点拟过氧化物纳米酶的制备及其在荧光或比色传感中的应用,浙江理工大学,PUBLISHED_BY
光诱导芳基酰基化及其机理研究,杭州师范大学,PUBLISHED_BY
基于机器视觉的仪表读数识别研究与应用,江南大学,PUBLISHED_BY
The Digital Humanities and Literary Studies（Chapter 1）英汉翻译实践报告,黑龙江大学,PUBLISHED_BY
中文命名实体识别与事件抽取方法研究,电子科技大学,PUBLISHED_BY
钙钛矿/宽禁带氧化物半导体异质结紫外探测器的研究,吉林大学,PUBLISHED_BY
电子病历数据驱动临床决策的模式研究,吉林大学,PUBLISHED_BY
跨学科知识输入特征及演化趋势分析,曲阜师范大学,PUBLISHED_BY
结构调控增强铁基生物炭异相芬顿催化降解双酚A研究,西北农林科技大学,PUBLISHED_BY
云南地区TPMT、NUDT15基因多态性与巯嘌呤不耐受及其机制研究,昆明医科大学,PUBLISHED_BY
生成式人工智能背景下DW企业发展战略研究,北方工业大学,PUBLISHED_BY
三种蛋白源替代鱼粉对凡纳滨对虾生长、非特异性免疫力及蛋白合成的影响,广东海洋大学,PUBLISHED_BY
数智化时代中石化集团司库管理体系优化研究,青岛理工大学,PUBLISHED_BY
肩袖损伤的发生机制和康复诊疗研究进展,中国云南昆明,PUBLISHED_BY
考虑热流分布和疲劳老化的IGBT结温模型研究,桂林电子科技大学,PUBLISHED_BY
基于全基因组与转录组研究假单胞菌低温环境下生物被膜形成与致腐特征,浙江工商大学,PUBLISHED_BY
WY公司数字化转型策略优化研究,商务部国际贸易经济合作研究院,PUBLISHED_BY
基于机器视觉的柑橘果形在线测控分选系统研究,中南林业科技大学,PUBLISHED_BY
基于生命周期理论的成长期企业供应链数字化转型路径研究,南京工业大学,PUBLISHED_BY
氧化镓短波光电探测器的设计与性能优化研究,中国科学技术大学,PUBLISHED_BY
中兴通讯R&D战略转型研究及建议,重庆师范大学,PUBLISHED_BY
α-取代单硫代丙二酸酯和β-硫酯Weinreb酰胺的合成及应用研究,沈阳化工大学,PUBLISHED_BY
量子通信理论研究,清华大学,PUBLISHED_BY
异腈参与的茚并吡咯、2-氨基萘及2-氨基喹唑啉衍生物的合成研究,广西科技大学,PUBLISHED_BY
Foxa2调控斑马鱼胚胎mRNA加工基因的机理研究,中国环境科学研究院,PUBLISHED_BY
农业拖挂车的不确定非线性系统事件触发优化控制研究,沈阳农业大学,PUBLISHED_BY
数字化背景下制造业企业绿色技术合作创新过程与演化研究,哈尔滨工程大学,PUBLISHED_BY
基于神经网络的对话生成方法研究,北京交通大学,PUBLISHED_BY
调节、物化与责任：论维贝克的技术哲学思想,贵州大学,PUBLISHED_BY
耳部全息铜砭刮痧在冠心病稳定型心绞痛伴失眠患者中的应用研究,安徽中医药大学,PUBLISHED_BY
基于数据驱动的新能源电力系统调度方法,华北电力大学(北京),PUBLISHED_BY
实用化量子通信若干理论与实验研究,中国科学技术大学,PUBLISHED_BY
益气温阳活血利水法防治尿毒症心肌病的关键作用机制和有效成分研究,广州中医药大学,PUBLISHED_BY
数字经济对劳动就业的影响研究,四川大学,PUBLISHED_BY
复杂干扰条件下基于深度学习红外目标检测跟踪技术研究,西北工业大学,PUBLISHED_BY
金纳米棒复合材料用于增强m6A-mRNA甲基化介导的癌症免疫治疗的研究,吉林大学,PUBLISHED_BY
基于卷积神经网络优化的细粒度图像识别研究,东北电力大学,PUBLISHED_BY
制造业转型升级政策的多维度协同及优化研究,华中科技大学,PUBLISHED_BY
深度神经网络中的后门攻击与防御研究,上海交通大学,PUBLISHED_BY
转录因子CcNsdD2调控灰盖鬼伞在黑暗和光照条件下发育命运的分子机制的研究,中国贵州贵阳,PUBLISHED_BY
医疗知识图谱中实体关系抽取技术研究,青岛科技大学,PUBLISHED_BY
芪地补肾活血方对慢性肾脏病3-5期（非透析）脾肾气虚兼血瘀证患者血清细胞外基质ColⅣ、LN的影响,黑龙江省中医药科学院,PUBLISHED_BY
北石窟寺砂岩文物微生物组及生物风化机理研究,兰州大学,PUBLISHED_BY
4A-Fe@Cu/PES共混膜对刚果红的吸附和催化性能研究,山东理工大学,PUBLISHED_BY
基于LEF1、Notch1和XPR1蛋白的舌鳞状细胞癌患者颈淋巴结转移预测模型的建立及验证,中国人民解放军医学院,PUBLISHED_BY
基于社交平台数据的大学生抑郁倾向预警模型研究,南京邮电大学,PUBLISHED_BY
Q公司呼叫中心服务业务战略研究,广西大学,PUBLISHED_BY
MRI影像组学对子宫内膜癌无进展生存期的预测价值,内蒙古医科大学,PUBLISHED_BY
重组大肠杆菌利用农业副产物发酵产香兰素的研究,江南大学,PUBLISHED_BY
基于对象关系建模与注意力机制的视觉问答研究,上海海事大学,PUBLISHED_BY
考虑消费者低碳偏好和政府补贴的闭环供应链回收策略研究,西南科技大学,PUBLISHED_BY
四仙逐痹汤通过miR-17-5p/PI3K/AKT/FASN轴调控类风湿关节炎滑膜成纤维细胞凋亡的机制研究,湖北中医药大学,PUBLISHED_BY
关于精准营养研究中运用的方法与技术系统综述,中国四川成都,PUBLISHED_BY
"5-羟甲基糠醛电催化转化2,5-呋喃二甲酸过程镍氧化物阳极稳定性研究",吉林大学,PUBLISHED_BY
金属卟啉类分子催化水分解和氧气还原研究,陕西师范大学,PUBLISHED_BY
基层智慧法院建设的困境与对策研究,山西大学,PUBLISHED_BY
基于多模态知识图谱的药用植物智能问答系统构建,华中师范大学,PUBLISHED_BY
具有原子级活性中心钴基催化剂在锌空电池中应用研究,哈尔滨工业大学,PUBLISHED_BY
基于改进YOLOv3的目标检测模型研究与应用,南京邮电大学,PUBLISHED_BY
针刺夹脊导引调息法治疗劳损腰痛文献分析和临床研究,广州中医药大学,PUBLISHED_BY
合成菌群提高红茶菌糖酸转化率的机制及其对红茶菌品质的影响,贵州大学,PUBLISHED_BY
卟啉衍生物的制备及其光催化性质研究,长春理工大学,PUBLISHED_BY
聚乙烯滚塑发泡工艺方法与泡孔结构调控机制研究,北京化工大学,PUBLISHED_BY
基于深度学习的温室大棚智能机器人视觉技术研究,内蒙古农业大学,PUBLISHED_BY
面向人机共融的行人行为理解与机器人行为评价,南开大学,PUBLISHED_BY
考虑响应特性的虚拟电厂运营决策方法研究及应用,华北电力大学(北京),PUBLISHED_BY
基于深度学习和中医面诊的血压预测模型构建,北京中医药大学,PUBLISHED_BY
装备制造企业数字化转型水平测度与影响机理研究,西安建筑科技大学,PUBLISHED_BY
(?)与张氏(?)基因组组装、注释及比较基因组分析,西北农林科技大学,PUBLISHED_BY
基于呼吸道传染病防治的城市功能空间结构优化研究,南华大学,PUBLISHED_BY
运腹降浊推拿法联合小陷胸汤改善肥胖2型糖尿病糖脂代谢紊乱的机制研究,长春中医药大学,PUBLISHED_BY
工业智能化对碳减排的影响分析,河南大学,PUBLISHED_BY
Ag3PO4/BiVO4异质结的制备及光催化处理渗滤液尾水的研究,桂林理工大学,PUBLISHED_BY
基于单分子荧光技术的单颗粒界面反应过程研究与应用,中国科学技术大学,PUBLISHED_BY
岐山居委二区社区群体健康干预护理个案,中国广东广州,PUBLISHED_BY
多环芳香类化合物及重金属的皮肤暴露及其微生物组学影响,南开大学,PUBLISHED_BY
砭石疗法辅助治疗正常高值血压的疗效评价研究,山东中医药大学,PUBLISHED_BY
基于大语言模型的领域问题生成方法研究,北京化工大学,PUBLISHED_BY
新型基础设施建设对边疆省区产业结构升级的影响研究,广西大学,PUBLISHED_BY
基于微信的慢病管理在慢性肾脏病2-3期患者中应用效果分析,黑龙江中医药大学,PUBLISHED_BY
儿童传染性单核细胞增多症诊断与治疗进展,中国陕西西安,PUBLISHED_BY
考虑公平偏好的竞争型绿色供应链定价决策和动态协调研究,北京科技大学,PUBLISHED_BY
母乳喂养不同排便频次婴儿及人工喂养婴儿肠道菌群宏基因组学研究,昆明医科大学,PUBLISHED_BY
肠道益生菌Akk改善糖皮质激素性骨质疏松症的效果及机制研究,中南大学,PUBLISHED_BY
金融科技对商业银行盈利能力的影响,山西财经大学,PUBLISHED_BY
镍铁基电催化剂层结构和界面结构的调控及锌空气电池应用研究,广东工业大学,PUBLISHED_BY
基于多组学探讨肠道菌群及其代谢产物在移植排斥反应中的作用研究,南方医科大学,PUBLISHED_BY
九州泰康生物芯片项目质量管理问题研究,吉林大学,PUBLISHED_BY
基于亚胺键构筑的二维功能化共价有机框架材料的设计合成与催化性能探究,吉林大学,PUBLISHED_BY
碳-聚合物复合材料的制备及其太阳能界面蒸发性能研究,华中科技大学,PUBLISHED_BY
基于RoBERTa和知识表示的中文实体关系抽取方法研究,东北石油大学,PUBLISHED_BY
基于FPGA的零知识证明加速方法研究,江南大学,PUBLISHED_BY
维持性血液透析患者证候特征与透析过程血压变化的相关性分析,福建中医药大学,PUBLISHED_BY
Fe3+、Mn2+掺杂镉基金属氯化物粉末的光学性质研究,广西大学,PUBLISHED_BY
基于数据驱动的高炉操作炉型动态表征模型研究,苏州大学,PUBLISHED_BY
基于Vision Transformer的图像分类算法研究,广州大学,PUBLISHED_BY
基于监督主题模型的临床文本挖掘和药效预测研究,安徽建筑大学,PUBLISHED_BY
橙皮苷对肾脏纤维化的保护作用及其机制研究,广东药科大学,PUBLISHED_BY
基于园本开发的幼儿园“脑科学”课程研究,中国广东广州,PUBLISHED_BY
基于机器视觉的盘类零件识别与尺寸检测研究,东华理工大学,PUBLISHED_BY
超分子纳米自组装体构建及其在淋巴成像和癌症靶向治疗中的应用研究,吉林大学,PUBLISHED_BY
新型贵金属纳米颗粒的合成及其介导膀胱癌光热疗法的研究,吉林大学,PUBLISHED_BY
高血压药物基因组学血管紧张素相关靶点的基因分型,齐鲁工业大学,PUBLISHED_BY
基于时机理论的达芬奇机器人胃癌根治术患者赋能教育方案的构建及初步应用,浙江中医药大学,PUBLISHED_BY
过渡金属电催化剂结构演化的同步辐射研究,中国科学技术大学,PUBLISHED_BY
基于气道神经源性炎症探讨翘芩清肺剂对咳嗽变异性哮喘防治作用的实验研究,广州医科大学,PUBLISHED_BY
基因组学揭示大银鱼在中国引进后的衰退的遗传因素,中国湖北宜昌,PUBLISHED_BY
明目、抗衰、美颜的花青素,中国北京,PUBLISHED_BY
煤热解与甲烷蒸汽重整及焦油原位催化提质耦合过程研究,大连理工大学,PUBLISHED_BY
动态网络表征学习方法研究,黑龙江大学,PUBLISHED_BY
小学高年级学生数学阅读能力现状调查研究,西北师范大学,PUBLISHED_BY
基于机器视觉的联轴器尺寸测量及表面缺陷检测研究,沈阳工业大学,PUBLISHED_BY
基于改进YOLOv7的车位检测方法研究,北华大学,PUBLISHED_BY
5G低轨卫星通信系统随机接入智能检测算法研究,西安邮电大学,PUBLISHED_BY
远程BCN对葡萄糖苷键立体选择性构建的调控作用及其在Ⅳ型B族链球菌荚膜六糖合成中的应用,山东大学,PUBLISHED_BY
富氮多孔有机聚合物负载钯多相催化剂的设计合成及其在Suzuki偶联反应中的应用,苏州科技大学,PUBLISHED_BY
基于格林模式的健康干预在妊娠期糖尿病孕妇中的应用研究,川北医学院,PUBLISHED_BY
数字赋能下“PLUSONEONE+”服装品牌视觉形象设计研究,南昌大学,PUBLISHED_BY
大学生同辈群体思想政治教育研究,山东建筑大学,PUBLISHED_BY
Curvulaviridae科相关dsRNA病毒内生化及进化基因组学研究,长江大学,PUBLISHED_BY
城市社区在传染病疫情防控中的长效机制研究,南昌大学,PUBLISHED_BY
改进YOLOv8的课堂学生行为检测与研究,广西民族大学,PUBLISHED_BY
融资约束中介下数字化转型对盈余管理的影响研究,燕山大学,PUBLISHED_BY
我国高水平单臂游泳运动员运动损伤特点与防治策略,中国山东日照,PUBLISHED_BY
基于深度学习的低信息量图像目标检测和分类,西北工业大学,PUBLISHED_BY
基于多组学分析的m7G修饰与颅内动脉瘤发病机制的探讨,中国福建厦门,PUBLISHED_BY
马克思“类”思想及其当代价值研究,西北师范大学,PUBLISHED_BY
基于骨架信息的人体跌倒检测系统设计与实现,南京邮电大学,PUBLISHED_BY
基于混合语义学习的短文本表示与分类关键技术研究,战略支援部队信息工程大学,PUBLISHED_BY
浅色黄姑鱼与黄姑鱼比较基因组学研究,集美大学,PUBLISHED_BY
K银行智能风控管理优化研究,江西财经大学,PUBLISHED_BY
番茄红素合成途径在盐单胞菌中的构建与初步优化,西南大学,PUBLISHED_BY
TTS语音合成技术在高中英语听力教学中的应用研究,延安大学,PUBLISHED_BY
两个重要蓝细菌病毒类群的基因多样性及其环境分布特征,山东大学,PUBLISHED_BY
全球blaCTX-M-55阳性大肠杆菌流行病学和传播特征的基因组学见解,中国广西南宁,PUBLISHED_BY
基于EVA与实物期权法的科创板IPO定价研究,上海财经大学,PUBLISHED_BY
基于机器视觉的汽车目标追踪方法,青岛科技大学,PUBLISHED_BY
基于贝叶斯网络的高处坠落事故关键因果链研究,大连理工大学,PUBLISHED_BY
数据要素赋能制造业高质量发展的效应研究,江西财经大学,PUBLISHED_BY
非编码RNA与其启动子的识别及疾病关联预测方法研究,哈尔滨工业大学,PUBLISHED_BY
少根紫萍对不同合成方式纳米硒胁迫的生理响应与机制研究,南昌大学,PUBLISHED_BY
JS银行金融科技风险管理及对策研究,山西大学,PUBLISHED_BY
基于小学数学核心素养的五年级“数与代数”教学问题与对策研究,内蒙古师范大学,PUBLISHED_BY
流苏石斛多糖对溃疡性结肠炎的改善及其作用机制研究,合肥工业大学,PUBLISHED_BY
基于计算机视觉的手写数字成绩单识别系统设计,大连交通大学,PUBLISHED_BY
深度伪造信息的特征识别、行为交互与反制研究,南昌大学,PUBLISHED_BY
锦菊素对银屑病模型小鼠的药效学作用及其机制探究,扬州大学,PUBLISHED_BY
智慧城市背景下A公司在智能交通领域的战略研究,西南科技大学,PUBLISHED_BY
基于主动健康需求和烟草依赖状况的慢性呼吸系统疾病防治健康教育方案的探索,广州医科大学,PUBLISHED_BY
转录因子GATA3对肺腺癌细胞辐射抗性的影响及其调控机制,吉林大学,PUBLISHED_BY
利用可解释性方法的对抗攻击和防御研究,贵州师范大学,PUBLISHED_BY
人工智能鉴别肺结节的良恶性及联合敏感肿瘤标志物诊断效能研究,锦州医科大学,PUBLISHED_BY
石油焦气化过程物化特性变化规律及催化机制研究,华中科技大学,PUBLISHED_BY
杜仲内生真菌群落结构解析及拮抗炭疽病菌株的筛选,吉首大学,PUBLISHED_BY
景区智慧服务对游客体验满意度的影响研究,江西财经大学,PUBLISHED_BY
鸡肠道宏基因组与产蛋性能的关联性研究,四川农业大学,PUBLISHED_BY
钒酸铋光电化学合成亚胺耦合析氢反应研究,山东大学,PUBLISHED_BY
可见光催化烯胺酮参与的有机合成研究,江西师范大学,PUBLISHED_BY
分级分速浮选生产高纯钼精矿的动力学机制研究,西安建筑科技大学,PUBLISHED_BY
小檗亚科、南天竹亚科（小檗科）花序和花的发育形态学和十大功劳属的物种界定,西北农林科技大学,PUBLISHED_BY
数字化对制造企业绩效的影响研究,四川师范大学,PUBLISHED_BY
老年便秘体质因素的回归分析及危险体质调护方案构建,广西中医药大学,PUBLISHED_BY
基于机器学习的电催化氧化水处理技术前瞻性LCA与过程逆向设计,哈尔滨工业大学,PUBLISHED_BY
高效鲁棒的生成对抗网络训练方法研究,中国科学技术大学,PUBLISHED_BY
主观幸福感对老年人心脑血管疾病的影响研究,北京协和医学院,PUBLISHED_BY
短乳杆菌全细胞催化GABA合成与DAR-PCR体系构建,南昌大学,PUBLISHED_BY
丝状菌膨胀过程活性污泥抗生素抗性基因水平转移机制,重庆大学,PUBLISHED_BY
桑叶提取物对花鲈生长、免疫及肝肠功能的影响,集美大学,PUBLISHED_BY
高性能生物质碳基催化材料的制备及其在有机污染物治理领域的应用研究,内蒙古农业大学,PUBLISHED_BY
共识教学研究,西南大学,PUBLISHED_BY
基于增强BERT的食品安全案事件知识图谱构建研究,北方工业大学,PUBLISHED_BY
平养鸭蛋捡拾机器人视觉定位与导航技术研究,华中农业大学,PUBLISHED_BY
微电场作用下膜生物反应器运行机制及膜污染控制研究,深圳大学,PUBLISHED_BY
肺鳞癌特异性预后标志物探索与鉴定,内蒙古大学,PUBLISHED_BY
自动驾驶刑事责任归属问题探究,贵州民族大学,PUBLISHED_BY
干旱胁迫下高粱根和叶的表观基因组学分析,三峡大学,PUBLISHED_BY
营养素在抑郁症中的角色,中国人民解放军海军军医大学,PUBLISHED_BY
基于数据融合的无刷直流电机故障诊断系统研究,浙江科技大学,PUBLISHED_BY
基于ROS调节NLRP3炎症小体介导细胞焦亡探索参芪温肺方治疗COPD的分子机制,安徽中医药大学,PUBLISHED_BY
无压反应烧结碳化硅增强复合陶瓷的研究,河北工业大学,PUBLISHED_BY
城市社区老年人健康干预的小组工作研究,重庆工商大学,PUBLISHED_BY
代谢工程改造棒状链霉菌提高柚皮素的产量,天津科技大学,PUBLISHED_BY
链霉菌基因组组装和分析管道软件的开发及其应用,华中农业大学,PUBLISHED_BY
保险科技对健康保险经营效率的影响研究,河南大学,PUBLISHED_BY
面向人机交互的意图识别方法研究,东北师范大学,PUBLISHED_BY
苓桂术甘汤调控肠道菌群及其代谢产物TMAO改善慢性心力衰竭的机制研究,广州中医药大学,PUBLISHED_BY
A银行郑州分行高净值客户营销策略研究,西安理工大学,PUBLISHED_BY
泛化误差分解指导下的小样本图像分类研究,北京交通大学,PUBLISHED_BY
550MPa级铜时效易焊接钢工程服役条件下的动态断裂力学行为表征,中国北京,PUBLISHED_BY
等离子体喷涂改性聚苯乙烯促进人牙髓细胞的分化及矿化,中国福建厦门,PUBLISHED_BY
运动、营养联合健康教育模式对低体重女大学生健康干预可行性分析,中国天津,PUBLISHED_BY
多形态因果关系抽取及因果知识图谱构建,华东师范大学,PUBLISHED_BY
基于Hogan理论的卵巢癌患者阶段性护理干预方案构建与应用,青岛大学,PUBLISHED_BY
计算广告背景下社交媒体影响者对用户旅程及其数字生态系统的影响研究,华南理工大学,PUBLISHED_BY
个人信息侵权违法性判定研究,华东政法大学,PUBLISHED_BY
氟化试剂引发烯胺酮串联环化反应研究,中南大学,PUBLISHED_BY
酸性矿山废水来源β-甘露聚糖酶的挖掘和耐酸机制研究,中南大学,PUBLISHED_BY
老年脑卒中失能患者家庭赋权出院计划干预方案的构建及应用研究,河南大学,PUBLISHED_BY
基于机器视觉的机械臂工件自主抓取研究,塔里木大学,PUBLISHED_BY
电化学自由基环化构建五元/六元含氮杂环反应研究,江西师范大学,PUBLISHED_BY
数字经济对我国教育公平的影响效应研究,广西大学,PUBLISHED_BY
新时代大学生生态文明素养培育研究,东北林业大学,PUBLISHED_BY
碱激发地质聚合物化学合成机理及其性能研究,天津工业大学,PUBLISHED_BY
基于人工智能图像生成手段的动态影像创作实践,云南艺术学院,PUBLISHED_BY
羊肚菌细菌性病害病原菌的分离鉴定及致病机制初探,西北师范大学,PUBLISHED_BY
金属烯的合成及其电化学性能研究,中国科学技术大学,PUBLISHED_BY
南昌地区带状疱疹的中医体质辨析及相关性研究,江西中医药大学,PUBLISHED_BY
基于机器人的脐橙自动分拣系统研究,云南财经大学,PUBLISHED_BY
IRTKS（BAIAP2L1）和BAIAP2L2影响肝癌发生发展的研究,兰州大学,PUBLISHED_BY
Y公司智能运维管理业务营销策略研究,西安理工大学,PUBLISHED_BY
非抗生素药物对厌氧氨氧化菌群抗生素抗性的调控机制研究,杭州师范大学,PUBLISHED_BY
鼢鼠系统发育和凸颅鼢鼠属物种形成的基因组学研究,兰州大学,PUBLISHED_BY
宽禁带半导体金属氧化物基稀土/过渡金属发光材料研究,长春理工大学,PUBLISHED_BY
基于机器视觉的PCBA缺陷检测系统研究与设计,广东工业大学,PUBLISHED_BY
基于计算机视觉的飞机维护检查系统算法设计与开发,山东大学,PUBLISHED_BY
瑶侗小学生数学问题解决表征水平比较研究,广西师范大学,PUBLISHED_BY
蛹虫草虫草素合成基因簇的异源表达,天津商业大学,PUBLISHED_BY
铁酸盐基催化剂光催化臭氧化去除有机污染物研究,福州大学,PUBLISHED_BY
miR-4512通过靶向CXCL2/TLR4调节中性粒细胞胞外诱捕网在SLE发病机制中的研究,昆明医科大学,PUBLISHED_BY
欧盟人工智能民事责任立法研究,外交学院,PUBLISHED_BY
石油焦气化/催化气化过程中焦结构及反应特性研究,太原理工大学,PUBLISHED_BY
人工智能与数值模式相结合的海面动力要素短期预报方法研究,齐鲁工业大学,PUBLISHED_BY
基于脑科学研究，在区域游戏中提升幼儿的情绪调控能力,线上会议,PUBLISHED_BY
g-C3N4基异质结催化剂可见光降解黄连素的研究,沈阳化工大学,PUBLISHED_BY
年度热词在国际中文教育中的应用探析,上海外国语大学,PUBLISHED_BY
基于叉指电极的金属催化剂电催化反应过程分析及定量研究,西安电子科技大学,PUBLISHED_BY
重大突发事件的情报感知及响应策略研究,吉林大学,PUBLISHED_BY
基于强化学习的机器人抓取方法研究,河北工业大学,PUBLISHED_BY
农产品病原体的核酸快速扩增和荧光检测系统研究,浙江大学,PUBLISHED_BY
基于机器视觉的焊缝缺陷检测系统研究,贵州大学,PUBLISHED_BY
基于ROS平台的视觉引导机械手抓取技术研究,哈尔滨商业大学,PUBLISHED_BY
贵州ZR公司发展战略研究,贵州大学,PUBLISHED_BY
银发经济视域下老年体育产业高质量发展的文献计量分析,中国湖北武汉,PUBLISHED_BY
人工智能生成物的著作权保护路径研究,北京邮电大学,PUBLISHED_BY
基于单目视觉目标检测的车辆测距模型及算法研究,电子科技大学,PUBLISHED_BY
基于紫外可见吸收光谱法的抗氧化剂的稳定性研究,合肥工业大学,PUBLISHED_BY
钨/钼基多相催化材料的结构设计及其在烷基化和氧化降解反应中的性能研究,北京化工大学,PUBLISHED_BY
基于多模态MRI的深度学习和传统影像组学预测腮腺肿瘤病理学类型的研究,南方医科大学,PUBLISHED_BY
苏州市K医联体糖尿病管理现状、问题及对策研究,苏州大学,PUBLISHED_BY
高效过渡金属催化剂电催化合成氨和有机物性能研究,中国科学技术大学,PUBLISHED_BY
量子秘密共享及其它多方量子密码协议研究,中国科学技术大学,PUBLISHED_BY
基于特征度量的小样本图像识别方法研究,合肥工业大学,PUBLISHED_BY
基于生成对抗网络的文本引导图像生成研究,西安理工大学,PUBLISHED_BY
5-羟甲基糠醛电化学转化及其催化机理研究,华南理工大学,PUBLISHED_BY
CircPTK2靶向结合miR-182-5p调控BDNF表达改善抑郁样行为的作用及机制研究,吉林大学,PUBLISHED_BY
羊肚菌栽培土壤微生物群落解析及合成微生物组的构建,中国农业科学院,PUBLISHED_BY
面向多域博弈协同的复杂产品再设计方法研究,兰州理工大学,PUBLISHED_BY
数字技术对制造业企业高质量发展的影响研究,南京信息工程大学,PUBLISHED_BY
马拉色菌交配系统演化研究,河北大学,PUBLISHED_BY
基于优化深度确定性策略梯度的机器人路径规划方法研究,沈阳建筑大学,PUBLISHED_BY
活性酚类糖苷衍生物的生物合成,山东大学,PUBLISHED_BY
师徒互动下的新手体育教师学习机制研究,扬州大学,PUBLISHED_BY
功能化聚氯乙烯在有机合成及比色分析中的应用,暨南大学,PUBLISHED_BY
自动驾驶汽车交通肇事刑事责任问题研究,河南财经政法大学,PUBLISHED_BY
硅藻CRISPR/Cas9基因编辑技术的建立及组氨酸激酶基因的起源和进化分析,中国农业科学院,PUBLISHED_BY
翻译补偿理论视角下《技术趋势：探索海事创新的未来》汉译实践报告,大连海事大学,PUBLISHED_BY
考虑民众心理感知的大规模传染病疫情应急物资分配决策研究,山东工商学院,PUBLISHED_BY
慢性荨麻疹脂质代谢组学特征的研究,中南大学,PUBLISHED_BY
黄曲霉毒素合成关键酶AflG的功能机制和抑制剂研究,甘肃农业大学,PUBLISHED_BY
基于大型语言模型的汽车客服自动问答系统研究与设计,电子科技大学,PUBLISHED_BY
基于LBS的微投影光学系统关键技术研究,西安工业大学,PUBLISHED_BY
校园交叉路口无人物流车人车交互避让策略研究,浙江大学,PUBLISHED_BY
基于网络攻防博弈模型的移动目标防御决策优化研究,广西大学,PUBLISHED_BY
学校教育数字化转型的动力机制与实现路径研究,华东师范大学,PUBLISHED_BY
基于萘酰二亚胺的类共价有机框架材料的设计合成及储能性能研究,重庆大学,PUBLISHED_BY
功能化纳米材料的构建及细胞膜受体功能的调控研究,湖南大学,PUBLISHED_BY
企业管理决策引入人工智能技术的影响因素研究,西南财经大学,PUBLISHED_BY
基于增强CT影像基因组学的膀胱癌淋巴结转移术前诊断研究,中国人民解放军空军军医大学,PUBLISHED_BY
基于GEO芯片及网络药理学方法探讨龙杞方治疗糖尿病肾脏病的作用机制,南京中医药大学,PUBLISHED_BY
模拟微重力下芽孢杆菌产维生素K2和环二肽仿生合成研究,宁波大学,PUBLISHED_BY
贵州省应急广播平台在突发公共事件应急管理中的作用研究,贵州大学,PUBLISHED_BY
煤巷掘进工作面围岩裂隙智能识别与三维重构方法研究,中国矿业大学,PUBLISHED_BY
健身气功改善慢性非特异性腰痛者疼痛效果研究,内蒙古师范大学,PUBLISHED_BY
基于宏基因组学探索饮酒人群肠道菌群特征研究,西安医学院,PUBLISHED_BY
人智协同对不同层次创作者的绩效影响及目标明确性的调节作用,华中科技大学,PUBLISHED_BY
从意向性看人工智能的主体责任,兰州大学,PUBLISHED_BY
K公司芯片验证项目管理研究,北京交通大学,PUBLISHED_BY
促红细胞生成素对兔骨髓间充质干细胞迁移能力的影响,内蒙古医科大学,PUBLISHED_BY
二十世纪六七十年代的中草药群众运动研究,中国科学技术大学,PUBLISHED_BY
工业园区场景下跌倒检测方法研究,武汉纺织大学,PUBLISHED_BY
基于机器视觉的跌倒检测研究,北京交通大学,PUBLISHED_BY
滚动轴承复合故障特征提取与诊断方法研究,兰州理工大学,PUBLISHED_BY
基于知识图谱的问答系统研究与实现,南京邮电大学,PUBLISHED_BY
国家集成电路投资基金投资对芯片行业研发创新影响研究,江西财经大学,PUBLISHED_BY
数字人文视域下明清科举进士档案数据知识发现研究,吉林大学,PUBLISHED_BY
C25羟基化维生素D3关键酶的挖掘及功能表征,江南大学,PUBLISHED_BY
原子负载的二维新型氮还原电催化剂的理论研究,电子科技大学,PUBLISHED_BY
基于天然低共熔体系美拉德反应合成Amadori重排产物及其增鲜应用研究,华南理工大学,PUBLISHED_BY
数字经济、人口红利下降与收入分配,厦门大学,PUBLISHED_BY
羰基醛参与的吡咯类化合物的合成研究,绍兴文理学院,PUBLISHED_BY
镍铁水滑石衍生硫化物基复合材料的设计合成及其光催化,中南大学,PUBLISHED_BY
数字化赋能高校精准思政的实践路径研究,太原科技大学,PUBLISHED_BY
生物表面活性剂去除废水中重金属离子的研究,郑州大学,PUBLISHED_BY
基于BERT-BiLSTM文本情绪挖掘的Black-Litterman投资组合研究,山西财经大学,PUBLISHED_BY
超宽禁带半导体材料AlN的掺杂技术研究,贵州大学,PUBLISHED_BY
乌鲁木齐市空气质量与气象因素对心脑血管疾病住院情况的影响研究,新疆医科大学,PUBLISHED_BY
牙龈卟啉单胞菌经“肠道菌群-亚油酸代谢”轴介导Th17/Treg细胞失衡加重炎性肠病,中国云南昆明,PUBLISHED_BY
面向文本数据的关系抽取关键技术研究,电子科技大学,PUBLISHED_BY
镍基类水滑石复合材料的制备及其催化性能研究,长春理工大学,PUBLISHED_BY
环境自适应催化体系的设计和应用研究,电子科技大学,PUBLISHED_BY
MOFs基异质结光催化剂的可控合成及其去除水中典型抗生素的性能研究,湖南大学,PUBLISHED_BY
UBP43通过激活β-catenin信号通路促进上皮性卵巢癌进展的相关机制研究,吉林大学,PUBLISHED_BY
在线诉讼异步审理模式的证成与困境化解,太原科技大学,PUBLISHED_BY
